City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gasa,PS,76.98,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
6,Salalah,OM,80.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
14,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
15,Butaritari,KI,83.71,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Tessalit,ML,84.72,clear sky,20.1986,1.0114,
25,Sao Filipe,CV,78.4,broken clouds,14.8961,-24.4956,Hotel Xaguate
37,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
38,Murray Bridge,AU,75.49,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
42,Bengkulu,ID,82.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
45,Hilo,US,80.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
47,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Wattegama,LK,79.72,overcast clouds,6.7989,81.4808,
51,Faanui,PF,79.66,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
56,Jiwani,PK,81.46,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
59,Hithadhoo,MV,82.4,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Hambantota,LK,80.94,overcast clouds,6.1241,81.1185,Bungalow 63
63,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
82,Meulaboh,ID,79.95,overcast clouds,4.1363,96.1285,Kost Pria
87,Sisophon,KH,84.07,light rain,13.5859,102.9737,Pyramid Hotel
99,Baripada,IN,83.53,light rain,21.935,86.7214,Aparna Hotel
102,Boyolangu,ID,83.23,broken clouds,-8.1181,111.8935,Yos ega cv
107,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
113,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
116,Placido De Castro,BR,80.51,clear sky,-10.3353,-67.1856,Hotel Carioca
125,Saint George,US,84.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
128,Dwarka,IN,82.15,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
133,Sabang,ID,81.72,moderate rain,5.8933,95.3214,Hotel Citra
139,Acapulco,MX,80.8,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
146,Panaba,MX,76.86,scattered clouds,21.2833,-88.2667,Posada rosario
147,Maicao,CO,82.08,overcast clouds,11.3832,-72.2432,Hotel Sancho
151,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
152,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
156,Karangasem,ID,81.48,broken clouds,-8.45,115.6167,Villa Campuhan
160,Yarada,IN,81.14,moderate rain,17.65,83.2667,Jeevan
161,San Lorenzo,PY,76.59,clear sky,-25.3333,-57.5333,Hotel del Sur
162,Puerto Escondido,MX,81.21,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
163,Isla Mujeres,MX,82.45,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
164,Lang Son,VN,84.15,few clouds,21.8333,106.7333,Khai Nga Hotel
167,Sal Rei,CV,79.36,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
172,Tual,ID,80.85,broken clouds,-5.6667,132.75,Grand Vilia Hotel
175,Fukue,JP,79.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
176,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
188,Airai,TL,80.33,broken clouds,-8.9266,125.4092,Juvinal Martin
191,Harper,LR,75.4,light rain,4.375,-7.7169,Screensaver
197,Acarau,BR,78.98,few clouds,-2.8856,-40.12,castelo pizzaria
198,Sigli,ID,84.56,overcast clouds,5.3848,95.9609,Losmen Dua Mali
200,Prachuap Khiri Khan,TH,80.91,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
211,Saint-Louis,SN,83.07,overcast clouds,16.3333,-15.0,
213,Puerto Leguizamo,CO,75.9,scattered clouds,-0.1934,-74.7819,la casona de juancho
215,Catuday,PH,83.68,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
218,Sawakin,SD,84.06,scattered clouds,19.1059,37.3321,فندق الدويم
220,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
222,Dhidhdhoo,MV,79.83,light rain,6.8833,73.1,Dhidhoo beach
225,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
227,Carutapera,BR,78.06,scattered clouds,-1.195,-46.02,Lidera
238,Puerto Penasco,MX,84.9,few clouds,31.3167,-113.5333,Playa Bonita Resort
244,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
245,Barra,BR,79.34,scattered clouds,-11.0894,-43.1417,Motel Albatroz
246,Sarangani,PH,83.84,overcast clouds,5.4033,125.4636,Ballistic Islet
249,Sulangan,PH,83.3,overcast clouds,11.1373,123.7228,Maia's Beach Resort
255,Sand Springs,US,82.98,clear sky,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
257,Trinidad,BO,84.81,few clouds,-14.8333,-64.9,Hotel Piesta
258,Aripuana,BR,75.07,broken clouds,-9.1667,-60.6333,
261,Muroto,JP,78.84,overcast clouds,33.2833,134.15,Oota Ryokan
265,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
266,Kieta,PG,83.91,light rain,-6.2167,155.6333,Uruna Bay Retreat
267,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
270,Teshie,GH,77.56,few clouds,5.5836,-0.1072,Adinkra Lodge
271,Dickinson,US,79.02,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
274,Honiara,SB,83.21,moderate rain,-9.4333,159.95,Heritage Park Hotel
277,Santa Cruz,BO,80.06,smoke,-17.8,-63.1667,Aviador Hotel Boutique
278,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
283,Port Blair,IN,81.72,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
285,Puri,IN,84.72,very heavy rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
286,Bilma,NE,79.47,clear sky,18.6853,12.9164,Expeditions Ténére voyages
295,Pecos,US,83.23,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
306,Paka,MY,84.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
307,Gat,IL,76.91,clear sky,31.61,34.7642,OlusHome
310,Griffith,US,75.88,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
317,Katsuura,JP,81.1,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
319,Sao Domingos,BR,76.71,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
324,Batticaloa,LK,83.57,overcast clouds,7.7102,81.6924,Grand Star Guest House
328,Springhill,US,75.63,overcast clouds,33.006,-93.4668,Holiday Motel
329,Iranshahr,IR,82.74,clear sky,27.2025,60.6848,نیک سرشت
332,Fort Myers Beach,US,82.45,scattered clouds,26.452,-81.9481,Lani Kai Island Resort
338,Macherla,IN,76.1,very heavy rain,16.4833,79.4333,Vivek express
339,Karratha,AU,80.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
345,Lagos,NG,79.12,broken clouds,6.5833,3.75,
349,Una,IN,79.45,overcast clouds,20.8167,71.0333,Hotel Harbhole
351,Vung Tau,VN,84.24,scattered clouds,10.346,107.0843,Green hotel
354,Sur,OM,84.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
355,Narasannapeta,IN,81.16,light rain,18.4167,84.05,G.lingaraju home
358,Laguna,US,75.7,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
361,Chumphon,TH,78.91,overcast clouds,10.3333,98.8333,สกาน จ๋า.
363,Fare,PF,79.61,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
366,Banjar,ID,82.26,scattered clouds,-8.19,114.9675,The Hamsa Resort
367,Manokwari,ID,83.89,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
371,Homestead,US,82.02,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
373,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
377,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
378,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
382,San Antonio,US,80.17,haze,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
383,Guaruja,BR,80.17,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
385,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
390,Mabaruma,GY,76.15,clear sky,8.2,-59.7833,Monty Brooms Guest House
401,Poya,NC,76.86,clear sky,-21.35,165.15,
409,Ambulu,ID,84.34,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
412,Port Augusta,AU,79.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
413,Tahta,EG,77.32,few clouds,26.7693,31.5021,مصطفي عساف
416,Cockburn Town,TC,83.3,clear sky,21.4612,-71.1419,Osprey Beach Hotel
417,Envira,BR,75.56,clear sky,-7.3,-70.2167,
419,Auki,SB,83.82,light rain,-8.7676,160.7034,Auki Motel
420,Maraba,BR,78.03,broken clouds,-5.3686,-49.1178,Hotel Del Principe
421,Trincomalee,LK,82.11,overcast clouds,8.5711,81.2335,Welcombe Hotel
428,Micoud,LC,80.53,broken clouds,13.8167,-60.9,Zamacà
430,Salina Cruz,MX,79.77,few clouds,16.1667,-95.2,Amerik HOTEL
433,Hope,US,75.25,broken clouds,33.6671,-93.5916,Best Western Hope
437,Veraval,IN,81.36,overcast clouds,20.9,70.3667,Lords Inn Somnath
439,Sao Miguel Do Araguaia,BR,82.58,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
451,Sinnamary,GF,80.24,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
452,Guanica,PR,81.25,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
454,Samarai,PG,80.17,scattered clouds,-10.6167,150.6667,Nuli Sapi
457,Barao De Melgaco,BR,82.92,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
458,Bandarbeyla,SO,78.76,clear sky,9.4942,50.8122,JABIR HOTEL
459,Dharmavaram,IN,78.94,overcast clouds,14.4333,77.7167,BALAJI LODGE
462,Bubaque,GW,83.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
463,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
465,Pochutla,MX,76.37,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
475,Sao Felix Do Xingu,BR,76.66,broken clouds,-6.6447,-51.995,Rio Xingu Camping
487,Pointe Michel,DM,82.94,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
489,Anuradhapura,LK,79.65,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
493,Pasighat,IN,82.72,broken clouds,28.0667,95.3333,Siang Guest House
494,Mangrol,IN,81.55,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
496,Kannur,IN,79.2,light rain,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
500,Eyl,SO,80.87,broken clouds,7.9803,49.8164,Amiin Hotel
503,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
505,Tra Vinh,VN,84.85,broken clouds,9.9347,106.3453,Hồng Ân
515,Nara,JP,79.97,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
520,Bambanglipuro,ID,84.16,broken clouds,-7.95,110.2833,Puri Brata
527,Porto Velho,BR,82.45,light rain,-8.7619,-63.9039,Hotel Central
530,Sola,VU,79.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
550,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
556,Teahupoo,PF,76.96,few clouds,-17.8333,-149.2667,Vanira Lodge
560,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
563,The Valley,AI,83.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
567,Susono,JP,76.59,few clouds,35.2184,138.8817,Hotel Route-Inn Susono Inter
568,Mana,GF,80.33,clear sky,5.6592,-53.7767,LE SAMANA
570,Yaring,TH,82.44,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
572,Teluk Nibung,ID,75.49,overcast clouds,3.001,99.8164,Hotel Assyifa
576,Salinopolis,BR,79.63,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
579,Faridpur,BD,84.2,overcast clouds,23.6,89.8333,Progoti hostel
585,Uvalde,US,76.15,clear sky,29.3669,-99.767,
590,Tutoia,BR,79.39,few clouds,-2.7619,-42.2744,Pousada Guará's
593,Wad Rawah,SD,82.78,clear sky,15.1603,33.1397,ود الترابي
596,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
597,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
600,Jackson,US,75.07,clear sky,42.4165,-122.8345,Agate Village Apartments
603,Khandbari,NP,79.29,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
609,Atmakur,IN,76.5,moderate rain,15.8833,78.5833,Mee seva atk
610,Mogadishu,SO,77.94,scattered clouds,2.0371,45.3438,Hotel Juba
617,Nizwa,OM,83.23,broken clouds,22.9333,57.5333,Orient Apartments
618,Bucerias,MX,78.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
621,Sao Jose Da Coroa Grande,BR,75.51,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
622,Lazaro Cardenas,MX,80.58,overcast clouds,17.9583,-102.2,quinta antigua
626,Bhojudih,IN,84.2,clear sky,23.6333,86.45,Alumni House
630,Tura,IN,84.67,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
637,Callaway,US,75.9,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
642,Tucurui,BR,78.03,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
643,Velasco Ibarra,EC,76.57,overcast clouds,-1.05,-79.6167,White Room Studio
646,Rock Sound,BS,82.22,overcast clouds,24.9,-76.2,Rock Sound Club
648,Frontera,MX,79.95,overcast clouds,26.9333,-101.45,Casagrande Hotel
650,Puerto Barrios,GT,80.15,overcast clouds,15.7167,-88.6,Hotel El Castillo
654,Formosa Do Rio Preto,BR,78.06,few clouds,-11.0483,-45.1931,Porto Center Hotel
655,Ati,TD,81.34,overcast clouds,13.2154,18.3353,
658,Boromo,BF,77.13,scattered clouds,11.75,-2.9333,Sama Camp
659,Umm Kaddadah,SD,80.31,few clouds,13.6017,26.6876,
664,Golden,US,78.49,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
667,Nagato,JP,78.75,scattered clouds,34.3833,131.2,いそう庵
668,Kirakira,SB,83.05,overcast clouds,-10.4544,161.9205,SanBiz Lodge
672,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
675,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
676,Joetsu,JP,81.72,scattered clouds,37.1483,138.2364,Joetsu Sun Plaza Hotel
678,Tongling,CN,78.87,overcast clouds,30.95,117.7833,Huoxian Hotel
699,Pedasi,PA,79.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
702,Amalner,IN,79.45,overcast clouds,21.05,75.0667,Government Rest House
